category,type of issue,funds lost,rugged_date,symbol,name,id,price_float,market_cap_float,volume,wasrekt,contract_chain,contract_address
Token,Honeypot,,2021-03-04,berry,berry swap,strawberry-ai,0.172295,,650474.0,1,"ethereum, base, solana","0xcb76314c2540199f4b844d4ebbc7998c604880ca, 0xdf36186772a8fda4be100dbacc0b48ef00c53089, D2tztvQKcmo7PUof8quQWAu3qXKwtiW1pLjvHLsUakv5"
Token,Honeypot,,2021-03-04,berry,berry swap,strawberry-ai,0.1444555,,,1,"ethereum, base, solana","0xcb76314c2540199f4b844d4ebbc7998c604880ca, 0xdf36186772a8fda4be100dbacc0b48ef00c53089, D2tztvQKcmo7PUof8quQWAu3qXKwtiW1pLjvHLsUakv5"
Token,Honeypot,,2021-05-26,sqt,squirtle,subquery-network,0.006655875,,200658.0,1,"ethereum, base","0x09395a2a58db45db0da254c7eaa5ac469d8bdc85, 0x858c50c3af1913b0e849afdb74617388a1a5340d"
Token,Honeypot,,2021-05-26,sqt,squirtle,subquery-network,0.009440095,,,1,"ethereum, base","0x09395a2a58db45db0da254c7eaa5ac469d8bdc85, 0x858c50c3af1913b0e849afdb74617388a1a5340d"
Token,Rugpull,,2021-08-30,hippo,hippolygon,sudeng,0.005246825,,43293816.0,1,sui,0x8993129d72e733985f7f1a00396cbd055bad6f817fee36576ce483c8bbb8b87b::sudeng::SUDENG
Token,Rugpull,,2021-08-30,hippo,hippolygon,sudeng,0.00689604,,,1,sui,0x8993129d72e733985f7f1a00396cbd055bad6f817fee36576ce483c8bbb8b87b::sudeng::SUDENG
Token,Honeypot,,2021-03-09,chad,chad token,sui-chad,1.4515e-05,,1216.63,1,sui,0x4c407edd882f5ba66813856676c486ce4dd16ed7c534d07cf5d50e015c288ab8::chad::CHAD
Token,Honeypot,,2021-03-09,chad,chad token,sui-chad,1.646e-05,,,1,sui,0x4c407edd882f5ba66813856676c486ce4dd16ed7c534d07cf5d50e015c288ab8::chad::CHAD
Token,Rugpull,,2021-08-26,sunny,sunnydefi finan...,sunny-on-tron,6.2095e-05,,2189.61,1,tron,TTNyx1NE8wsJa3GqxCKNv9BjvSRxATV5KG
Token,Rugpull,,2021-10-10,sat,saturnbeam,super-athletes-token,0.005959165,,87749.0,1,ethereum,0x5abf88cf3444611d13f6d1b39f3f3ee8575c91a2
Token,Rugpull,,2021-10-10,sat,saturnbeam,super-athletes-token,0.00423969,,,1,ethereum,0x5abf88cf3444611d13f6d1b39f3f3ee8575c91a2
Token,Honeypot,,2021-06-24,sss,safesolarstar,super-sushi-samurai,3.1e-09,,23599.0,1,blast,0xfd4d19f9fbb9f730c3c88a21755832bd2455144e
Token,Honeypot,,2021-06-24,sss,safesolarstar,super-sushi-samurai,3.4e-09,,,1,blast,0xfd4d19f9fbb9f730c3c88a21755832bd2455144e
Token,Rugpull,"$286,123",2023-06-06,sct,sct token,supercells-2,0.1373715,,782140.0,1,arbitrum-one,0xe82335d58abb1cd44cd5f47cf7f5b378e4c32f05
Token,Rugpull,"$286,123",2023-06-06,sct,sct token,supercells-2,0.1079645,,,1,arbitrum-one,0xe82335d58abb1cd44cd5f47cf7f5b378e4c32f05
Token,Rugpull,"$42,000",2023-08-06,coin,coin token rug ...,swapbased-coin,0.002380845,,1241.16,1,base,0x2156006a207a793b4069a2b72be58dc2bd759232
